"Carrier Group","Delivery Type","Segment","Sms Relay","Sms Phone Number","Date","MonthYear","Quarter","Week","Sent","Delivered","Clicks","Unique Clicks","Clicks to Sent Rate","Unique Clicks to Sent Rate","Unsubscribes","Unique Unsubscribes","Bounces","Refusals","Revenue","RPS","Complaints","Unique Complaints"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","380","380","48","37","12.6316","9.7368","0","0","1","0","2.1795999999999998","0.00573578947368421","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","384","384","168","134","43.7500","34.8958","0","0","0","0","1.2065000000000001","0.003141927083333334","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","248","248","207","159","83.4677","64.1129","0","0","0","0","5.712400000000001","0.023033870967741937","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","93","93","29","24","31.1828","25.8065","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","551","551","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","1039","1038","1","1","0.0962","0.0962","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","1203","1203","3","1","0.2494","0.0831","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","776","776","1","1","0.1289","0.1289","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","840","840","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","679","679","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","429","429","2","2","0.4662","0.4662","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","172","172","4","3","2.3256","1.7442","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","90","90","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","81","81","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15122546967","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","85","84","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-16","Feb, 2026","Q1, 2026","Week 08, 2026","7","7","2","2","28.5714","28.5714","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-15","Feb, 2026","Q1, 2026","Week 07, 2026","9","9","1","1","11.1111","11.1111","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-14","Feb, 2026","Q1, 2026","Week 07, 2026","58","58","1","1","1.7241","1.7241","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-13","Feb, 2026","Q1, 2026","Week 07, 2026","56","56","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-12","Feb, 2026","Q1, 2026","Week 07, 2026","809","809","2","2","0.2472","0.2472","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-11","Feb, 2026","Q1, 2026","Week 07, 2026","551","550","113","88","20.5082","15.9710","0","0","1","0","0.9665","0.0017540834845735027","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","4","4","4","2","100.0000","50.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","262","262","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","1175","1175","1","1","0.0851","0.0851","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","839","839","2","1","0.2384","0.1192","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","760","760","2","2","0.2632","0.2632","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","682","682","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","426","426","7","6","1.6432","1.4085","0","0","0","0","1.1169","0.002621830985915493","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","198","198","2","1","1.0101","0.5051","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","79","79","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","80","80","3","2","3.7500","2.5000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15123250119","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","96","95","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-15","Feb, 2026","Q1, 2026","Week 07, 2026","14","14","3","1","21.4286","7.1429","0","0","0","0","0.3615","0.02582142857142857","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-14","Feb, 2026","Q1, 2026","Week 07, 2026","55","55","3","1","5.4545","1.8182","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-13","Feb, 2026","Q1, 2026","Week 07, 2026","72","72","3","2","4.1667","2.7778","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-12","Feb, 2026","Q1, 2026","Week 07, 2026","843","843","1","1","0.1186","0.1186","0","0","2","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-11","Feb, 2026","Q1, 2026","Week 07, 2026","525","525","101","68","19.2381","12.9524","0","0","0","0","2.2332","0.004253714285714286","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","1","1","1","1","100.0000","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","249","249","1","1","0.4016","0.4016","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","1197","1197","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","833","831","3","2","0.3601","0.2401","0","0","0","0","0.37","0.00044417767106842736","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","752","752","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","754","754","3","2","0.3979","0.2653","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","429","429","2","2","0.4662","0.4662","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","176","176","2","2","1.1364","1.1364","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","105","105","2","1","1.9048","0.9524","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","93","93","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","+15126314484","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","93","93","1","1","1.0753","1.0753","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","71","7","77","71","108.4507","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","77","0","77","77","100.0000","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","35","0","35","35","100.0000","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","569","0","569","569","100.0000","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","1019","0","1019","1019","100.0000","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","2463","0","2461","2461","99.9188","99.9188","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","2530","2283","3520","2530","139.1304","100.0000","0","0","0","0","60.10640000000001","0.02375747035573123","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","1833","1652","2610","1833","142.3895","100.0000","0","0","0","0","47.2183","0.02576012002182215","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","1375","1247","1872","1368","136.1455","99.4909","0","0","0","0","23.800500000000003","0.017309454545454548","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","864","787","1215","863","140.6250","99.8843","0","0","0","0","22.850800000000003","0.02644768518518519","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","254","234","365","254","143.7008","100.0000","0","0","0","0","3.1660999999999997","0.012464960629921258","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","32","28","42","32","131.2500","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","17","16","29","17","170.5882","100.0000","0","0","0","0","0.1595","0.00938235294117647","0","0"
"AT&T","SmsCampaign","Clicker","Volt Relay US","20407","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","9","9","11","9","122.2222","100.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","1376","1375","48","43","3.4884","3.1250","0","0","5","0","3.3219","0.002414171511627907","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","1170","1167","182","146","15.5556","12.4786","0","0","0","0","8.1787","0.00699034188034188","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","802","802","163","126","20.3242","15.7107","0","0","0","0","4.6746","0.005828678304239401","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","716","716","39","31","5.4469","4.3296","0","0","0","0","0.6487","0.0009060055865921789","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","949","949","1","1","0.1054","0.1054","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","945","944","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","636","636","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","691","691","3","2","0.4342","0.2894","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","899","898","1","1","0.1112","0.1112","0","0","0","0","0.2","0.0002224694104560623","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","1093","1093","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-01-31","Jan, 2026","Q1, 2026","Week 05, 2026","1303","1303","5","5","0.3837","0.3837","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-01-30","Jan, 2026","Q1, 2026","Week 05, 2026","1750","1749","5","4","0.2857","0.2286","0","0","0","0","0.9514","0.0005436571428571429","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-01-29","Jan, 2026","Q1, 2026","Week 05, 2026","1975","1972","3","2","0.1519","0.1013","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-01-28","Jan, 2026","Q1, 2026","Week 05, 2026","2034","2033","4","3","0.1967","0.1475","0","0","0","0","0.79","0.00038839724680432645","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546961","2026-01-27","Jan, 2026","Q1, 2026","Week 05, 2026","1946","1941","2","2","0.1028","0.1028","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-10","Feb, 2026","Q1, 2026","Week 07, 2026","1348","1348","66","51","4.8961","3.7834","0","0","5","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-09","Feb, 2026","Q1, 2026","Week 07, 2026","1160","1160","223","181","19.2241","15.6034","0","0","0","0","2.6019","0.0022430172413793106","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-08","Feb, 2026","Q1, 2026","Week 06, 2026","797","797","195","152","24.4668","19.0715","0","0","1","0","5.0079","0.006283437892095358","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-07","Feb, 2026","Q1, 2026","Week 06, 2026","725","725","52","46","7.1724","6.3448","0","0","0","0","1.2285","0.0016944827586206895","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-06","Feb, 2026","Q1, 2026","Week 06, 2026","949","949","1","1","0.1054","0.1054","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-05","Feb, 2026","Q1, 2026","Week 06, 2026","1003","1001","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-04","Feb, 2026","Q1, 2026","Week 06, 2026","616","616","1","1","0.1623","0.1623","0","0","0","0","0.4336","0.0007038961038961038","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-03","Feb, 2026","Q1, 2026","Week 06, 2026","762","762","1","1","0.1312","0.1312","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-02","Feb, 2026","Q1, 2026","Week 06, 2026","863","863","1","1","0.1159","0.1159","0","0","0","0","0","0","0","0"
"AT&T","SmsCampaign","New Data","Volt Relay US","+15122546963","2026-02-01","Feb, 2026","Q1, 2026","Week 05, 2026","1052","1053","1","1","0.0951","0.0951","0","0","0","0","0","0","0","0"
